brand,llm,visibility,prominence,recommendation,sentiment
Beats,chatgpt,0.5135135135135135,0.057692307692307696,0.038461538461538464,0.38290576923076924
Beats,claude,0.46,0.11538461538461539,0.038461538461538464,0.46126538461538463
Beats,gemini,0.46153846153846156,0.09615384615384616,0.038461538461538464,0.3026099358974359
Bose,chatgpt,0.5945945945945946,0.019230769230769232,,
Bose,claude,0.58,0.038461538461538464,,
Bose,gemini,0.46153846153846156,0.019230769230769232,,
Sennheiser,chatgpt,0.5675675675675675,0.07692307692307693,0.038461538461538464,
Sennheiser,claude,0.46,0.07692307692307693,0.057692307692307696,
Sennheiser,gemini,0.5,0.11538461538461539,0.019230769230769232,
Sony,chatgpt,0.918918918918919,0.6730769230769231,0.3076923076923077,0.9170182692307692
Sony,claude,0.9,0.6153846153846154,0.2692307692307692,0.8492961538461539
Sony,gemini,0.9230769230769231,0.5961538461538461,0.21153846153846154,0.9329068910256411
Soundcore,chatgpt,0.43243243243243246,0.11538461538461539,0.057692307692307696,0.4210634615384615
Soundcore,claude,0.34,0.07692307692307693,0.019230769230769232,0.32675
Soundcore,gemini,0.3076923076923077,0.1346153846153846,0.0,0.4774320512820513
