brand,llm,first_brand_count_llm,prominence_rate_llm
Sony,chatgpt,35,0.6730769230769231
Sony,claude,32,0.6153846153846154
Sony,gemini,31,0.5961538461538461
Beats,chatgpt,3,0.057692307692307696
Beats,claude,6,0.11538461538461539
Beats,gemini,5,0.09615384615384616
Soundcore,chatgpt,6,0.11538461538461539
Soundcore,claude,4,0.07692307692307693
Soundcore,gemini,7,0.1346153846153846
Bose,chatgpt,1,0.019230769230769232
Bose,claude,2,0.038461538461538464
Bose,gemini,1,0.019230769230769232
Sennheiser,chatgpt,4,0.07692307692307693
Sennheiser,claude,4,0.07692307692307693
Sennheiser,gemini,6,0.11538461538461539
