brand,llm,recommendation_count_llm,recommendation_share_llm,recommendation_rate_llm
Sony,chatgpt,16,0.6956521739130435,0.3076923076923077
Sony,claude,14,0.7,0.2692307692307692
Sony,gemini,11,0.7857142857142857,0.21153846153846154
Beats,chatgpt,2,0.08695652173913043,0.038461538461538464
Beats,claude,2,0.1,0.038461538461538464
Beats,gemini,2,0.14285714285714285,0.038461538461538464
Soundcore,chatgpt,3,0.13043478260869565,0.057692307692307696
Soundcore,claude,1,0.05,0.019230769230769232
Soundcore,gemini,0,0.0,0.0
Sennheiser,chatgpt,2,0.08695652173913043,0.038461538461538464
Sennheiser,claude,3,0.15,0.057692307692307696
Sennheiser,gemini,1,0.07142857142857142,0.019230769230769232
