brand,llm,total_responses_llm,responses_with_brand_llm,visibility_rate_llm
Sony,chatgpt,37,34,0.918918918918919
Sony,claude,50,45,0.9
Sony,gemini,26,24,0.9230769230769231
Beats,chatgpt,37,19,0.5135135135135135
Beats,claude,50,23,0.46
Beats,gemini,26,12,0.46153846153846156
Soundcore,chatgpt,37,16,0.43243243243243246
Soundcore,claude,50,17,0.34
Soundcore,gemini,26,8,0.3076923076923077
Bose,chatgpt,37,22,0.5945945945945946
Bose,claude,50,29,0.58
Bose,gemini,26,12,0.46153846153846156
Sennheiser,chatgpt,37,21,0.5675675675675675
Sennheiser,claude,50,23,0.46
Sennheiser,gemini,26,13,0.5
